Area_name	STCOU	POP010130F	POP010130D	POP010130N1	POP010130N2	POP010140F	POP010140D	POP010140N1	POP010140N2	POP010150F	POP010150D	POP010150N1	POP010150N2	POP010160F	POP010160D	POP010160N1	POP010160N2	POP010170F	POP010170D	POP010170N1	POP010170N2	POP010180F	POP010180D	POP010180N1	POP010180N2	POP010190F	POP010190D	POP010190N1	POP010190N2	POP010200F	POP010200D	POP010200N1	POP010200N2	POP010210F	POP010210D	POP010210N1	POP010210N2	POP020170F	POP020170D	POP020170N1	POP020170N2
"Navajo, AZ"	04017	0	21202	0000	0000	0	25309	0000	0000	0	29446	0000	0000	0	37994	0000	0000	0	47715	0000	0000	0	67629	0000	0000	0	77658	0000	0000	0	97470	0000	0000	0	107449	0000	0000	0	47559	0000	0000
"Pima, AZ"	04019	0	55676	0000	0000	0	72838	0000	0000	0	141216	0000	0000	0	265660	0000	0000	0	351667	0000	0000	0	531443	0000	0000	0	666880	0000	0000	0	843746	0000	0000	0	980263	0000	0000	0	351667	0000	0000
"Pinal, AZ"	04021	0	22081	0000	0000	0	28841	0000	0000	0	43191	0000	0000	0	62673	0000	0000	0	67916	0000	0000	0	90918	0000	0000	0	116379	0000	0000	0	179727	0000	0000	0	375770	0000	0000	0	68579	0000	0000
"Santa Cruz, AZ"	04023	0	9684	0000	0000	0	9482	0000	0000	0	9344	0000	0000	0	10808	0000	0000	0	13966	0000	0000	0	20459	0000	0000	0	29676	0000	0000	0	38381	0000	0000	0	47420	0000	0000	0	13966	0000	0000
"Yavapai, AZ"	04025	0	28470	0000	0000	0	26511	0000	0000	0	24991	0000	0000	0	28912	0000	0000	0	36733	0000	0000	0	68145	0000	0000	0	107714	0000	0000	0	167517	0000	0000	0	211033	0000	0000	0	37005	0000	0000
"Yuma, AZ"	04027	1	17816	5071	0000	1	19326	5071	0000	1	28006	5071	0000	1	46235	5071	0000	1	60827	5071	0000	1	90554	5071	0000	0	106895	0000	0000	0	160026	0000	0000	0	195751	0000	0000	1	60827	5071	0000
ARKANSAS	05000	0	1854482	0000	0000	0	1949387	0000	0000	0	1909511	0000	0000	0	1786272	0000	0000	0	1923295	0000	0000	0	2286435	0000	0000	0	2350725	0000	0000	0	2673400	0000	0000	0	2915918	0000	0000	0	1923322	0000	0000
"Arkansas, AR"	05001	0	22300	0000	0000	0	24437	0000	0000	0	23665	0000	0000	0	23355	0000	0000	0	23347	0000	0000	0	24175	0000	0000	0	21653	0000	0000	0	20749	0000	0000	0	19019	0000	0000	0	23347	0000	0000
"Ashley, AR"	05003	0	25151	0000	0000	0	26785	0000	0000	0	25660	0000	0000	0	24220	0000	0000	0	24976	0000	0000	0	26538	0000	0000	0	24319	0000	0000	0	24209	0000	0000	0	21853	0000	0000	0	24976	0000	0000
"Baxter, AR"	05005	0	9519	0000	0000	0	10281	0000	0000	0	11683	0000	0000	0	9943	0000	0000	0	15319	0000	0000	0	27409	0000	0000	0	31186	0000	0000	0	38386	0000	0000	0	41513	0000	0000	0	15319	0000	0000
"Benton, AR"	05007	0	35253	0000	0000	0	36148	0000	0000	0	38076	0000	0000	0	36272	0000	0000	0	50476	0000	0000	0	78115	0000	0000	0	97499	0000	0000	0	153406	0000	0000	0	221339	0000	0000	0	50476	0000	0000
"Boone, AR"	05009	0	14937	0000	0000	0	15860	0000	0000	0	16260	0000	0000	0	16116	0000	0000	0	19073	0000	0000	0	26067	0000	0000	0	28297	0000	0000	0	33948	0000	0000	0	36903	0000	0000	0	19073	0000	0000
"Bradley, AR"	05011	0	17494	0000	0000	0	18097	0000	0000	0	15987	0000	0000	0	14029	0000	0000	0	12778	0000	0000	0	13803	0000	0000	0	11793	0000	0000	0	12600	0000	0000	0	11508	0000	0000	0	12778	0000	0000
"Calhoun, AR"	05013	0	9752	0000	0000	0	9636	0000	0000	0	7132	0000	0000	0	5991	0000	0000	0	5573	0000	0000	0	6079	0000	0000	0	5826	0000	0000	0	5744	0000	0000	0	5368	0000	0000	0	5573	0000	0000
"Carroll, AR"	05015	0	15820	0000	0000	0	14737	0000	0000	0	13244	0000	0000	0	11284	0000	0000	0	12301	0000	0000	0	16203	0000	0000	0	18654	0000	0000	0	25357	0000	0000	0	27446	0000	0000	0	12301	0000	0000
"Chicot, AR"	05017	0	22646	0000	0000	0	27452	0000	0000	0	22306	0000	0000	0	18990	0000	0000	0	18164	0000	0000	0	17793	0000	0000	0	15713	0000	0000	0	14117	0000	0000	0	11800	0000	0000	0	18164	0000	0000
"Clark, AR"	05019	0	24932	0000	0000	0	24402	0000	0000	0	22998	0000	0000	0	20950	0000	0000	0	21537	0000	0000	0	23326	0000	0000	0	21437	0000	0000	0	23546	0000	0000	0	22995	0000	0000	0	21537	0000	0000
"Clay, AR"	05021	0	27278	0000	0000	0	28386	0000	0000	0	26674	0000	0000	0	21258	0000	0000	0	18771	0000	0000	0	20616	0000	0000	0	18107	0000	0000	0	17609	0000	0000	0	16083	0000	0000	0	18771	0000	0000
"Cleburne, AR"	05023	0	11373	0000	0000	0	13134	0000	0000	0	11487	0000	0000	0	9059	0000	0000	0	10349	0000	0000	0	16909	0000	0000	0	19411	0000	0000	0	24046	0000	0000	0	25970	0000	0000	0	10349	0000	0000
"Cleveland, AR"	05025	0	12744	0000	0000	0	12570	0000	0000	0	8956	0000	0000	0	6944	0000	0000	0	6605	0000	0000	0	7868	0000	0000	0	7781	0000	0000	0	8571	0000	0000	0	8689	0000	0000	0	6605	0000	0000
"Columbia, AR"	05027	0	27320	0000	0000	0	29822	0000	0000	0	28770	0000	0000	0	26400	0000	0000	0	25952	0000	0000	0	26644	0000	0000	0	25691	0000	0000	0	25603	0000	0000	0	24552	0000	0000	0	25952	0000	0000
"Conway, AR"	05029	0	21949	0000	0000	0	21536	0000	0000	0	18137	0000	0000	0	15430	0000	0000	0	16805	0000	0000	0	19505	0000	0000	0	19151	0000	0000	0	20336	0000	0000	0	21273	0000	0000	0	16805	0000	0000
"Craighead, AR"	05031	0	44740	0000	0000	0	47200	0000	0000	0	50613	0000	0000	0	47303	0000	0000	0	52068	0000	0000	0	63239	0000	0000	0	68956	0000	0000	0	82148	0000	0000	0	96443	0000	0000	0	52068	0000	0000
"Crawford, AR"	05033	0	22549	0000	0000	0	23920	0000	0000	0	22727	0000	0000	0	21318	0000	0000	0	25677	0000	0000	0	36892	0000	0000	0	42493	0000	0000	0	53247	0000	0000	0	61948	0000	0000	0	25677	0000	0000
"Crittenden, AR"	05035	0	39717	0000	0000	0	42473	0000	0000	0	47184	0000	0000	0	47564	0000	0000	0	48106	0000	0000	0	49499	0000	0000	0	49939	0000	0000	0	50866	0000	0000	0	50902	0000	0000	0	48106	0000	0000
"Cross, AR"	05037	0	25723	0000	0000	0	26046	0000	0000	0	24757	0000	0000	0	19551	0000	0000	0	19783	0000	0000	0	20434	0000	0000	0	19225	0000	0000	0	19526	0000	0000	0	17870	0000	0000	0	19783	0000	0000
"Dallas, AR"	05039	0	14671	0000	0000	0	14471	0000	0000	0	12416	0000	0000	0	10522	0000	0000	0	10022	0000	0000	0	10515	0000	0000	0	9614	0000	0000	0	9210	0000	0000	0	8116	0000	0000	0	10022	0000	0000
"Desha, AR"	05041	0	21814	0000	0000	0	27160	0000	0000	0	25155	0000	0000	0	20770	0000	0000	0	18761	0000	0000	0	19760	0000	0000	0	16798	0000	0000	0	15341	0000	0000	0	13008	0000	0000	0	18761	0000	0000
"Drew, AR"	05043	0	19928	0000	0000	0	19831	0000	0000	0	17959	0000	0000	0	15213	0000	0000	0	15157	0000	0000	0	17910	0000	0000	0	17369	0000	0000	0	18723	0000	0000	0	18509	0000	0000	0	15157	0000	0000
"Faulkner, AR"	05045	0	28381	0000	0000	0	25880	0000	0000	0	25289	0000	0000	0	24303	0000	0000	0	31572	0000	0000	0	46192	0000	0000	0	60006	0000	0000	0	86014	0000	0000	0	113237	0000	0000	0	31578	0000	0000
"Franklin, AR"	05047	0	15762	0000	0000	0	15683	0000	0000	0	12358	0000	0000	0	10213	0000	0000	0	11301	0000	0000	0	14705	0000	0000	0	14897	0000	0000	0	17771	0000	0000	0	18125	0000	0000	0	11301	0000	0000
"Fulton, AR"	05049	0	10834	0000	0000	0	10253	0000	0000	0	9187	0000	0000	0	6657	0000	0000	0	7699	0000	0000	0	9975	0000	0000	0	10037	0000	0000	0	11642	0000	0000	0	12245	0000	0000	0	7699	0000	0000
"Garland, AR"	05051	0	36031	0000	0000	0	41664	0000	0000	0	47102	0000	0000	0	46697	0000	0000	0	54131	0000	0000	0	70531	0000	0000	0	73397	0000	0000	0	88068	0000	0000	0	96024	0000	0000	0	54131	0000	0000
"Grant, AR"	05053	0	9834	0000	0000	0	10477	0000	0000	0	9024	0000	0000	0	8294	0000	0000	0	9711	0000	0000	0	13008	0000	0000	0	13948	0000	0000	0	16464	0000	0000	0	17853	0000	0000	0	9711	0000	0000
"Greene, AR"	05055	0	26127	0000	0000	0	30204	0000	0000	0	29149	0000	0000	0	25198	0000	0000	0	24765	0000	0000	0	30744	0000	0000	0	31804	0000	0000	0	37331	0000	0000	0	42090	0000	0000	0	24765	0000	0000
"Hempstead, AR"	05057	0	30847	0000	0000	0	32770	0000	0000	0	25080	0000	0000	0	19661	0000	0000	0	19308	0000	0000	0	23635	0000	0000	0	21621	0000	0000	0	23587	0000	0000	0	22609	0000	0000	0	19308	0000	0000
"Hot Spring, AR"	05059	0	18105	0000	0000	0	18916	0000	0000	0	22181	0000	0000	0	21893	0000	0000	0	21963	0000	0000	0	26819	0000	0000	0	26115	0000	0000	0	30353	0000	0000	0	32923	0000	0000	0	21963	0000	0000
"Howard, AR"	05061	0	17489	0000	0000	0	16621	0000	0000	0	13342	0000	0000	0	10878	0000	0000	0	11412	0000	0000	0	13459	0000	0000	0	13569	0000	0000	0	14300	0000	0000	0	13789	0000	0000	0	11412	0000	0000
"Independence, AR"	05063	0	24225	0000	0000	0	25643	0000	0000	0	23488	0000	0000	0	20048	0000	0000	0	22723	0000	0000	0	30147	0000	0000	0	31192	0000	0000	0	34233	0000	0000	0	36647	0000	0000	0	22723	0000	0000
"Izard, AR"	05065	0	12872	0000	0000	0	12834	0000	0000	0	9953	0000	0000	0	6766	0000	0000	0	7381	0000	0000	0	10768	0000	0000	0	11364	0000	0000	0	13249	0000	0000	0	13696	0000	0000	0	7381	0000	0000
"Jackson, AR"	05067	0	27943	0000	0000	0	26427	0000	0000	0	25912	0000	0000	0	22843	0000	0000	0	20452	0000	0000	0	21646	0000	0000	0	18944	0000	0000	0	18418	0000	0000	0	17997	0000	0000	0	20452	0000	0000
"Jefferson, AR"	05069	0	64154	0000	0000	0	65101	0000	0000	0	76075	0000	0000	0	81373	0000	0000	0	85329	0000	0000	0	90718	0000	0000	0	85487	0000	0000	0	84278	0000	0000	0	77435	0000	0000	0	85329	0000	0000
"Johnson, AR"	05071	0	19289	0000	0000	0	18795	0000	0000	0	16138	0000	0000	0	12421	0000	0000	0	13630	0000	0000	0	17423	0000	0000	0	18221	0000	0000	0	22781	0000	0000	0	25540	0000	0000	0	13630	0000	0000
"Lafayette, AR"	05073	0	16934	0000	0000	0	16851	0000	0000	0	13203	0000	0000	0	11030	0000	0000	0	10018	0000	0000	0	10213	0000	0000	0	9643	0000	0000	0	8559	0000	0000	0	7645	0000	0000	0	10018	0000	0000
"Lawrence, AR"	05075	0	21663	0000	0000	0	22651	0000	0000	0	21303	0000	0000	0	17267	0000	0000	0	16320	0000	0000	0	18447	0000	0000	0	17457	0000	0000	0	17774	0000	0000	0	17415	0000	0000	0	16320	0000	0000
"Lee, AR"	05077	0	26637	0000	0000	0	26810	0000	0000	0	24322	0000	0000	0	21001	0000	0000	0	18884	0000	0000	0	15539	0000	0000	0	13053	0000	0000	0	12580	0000	0000	0	10424	0000	0000	0	18884	0000	0000
"Lincoln, AR"	05079	0	20250	0000	0000	0	19709	0000	0000	0	17079	0000	0000	0	14447	0000	0000	0	12913	0000	0000	0	13369	0000	0000	0	13690	0000	0000	0	14492	0000	0000	0	14134	0000	0000	0	12913	0000	0000
"Little River, AR"	05081	0	15515	0000	0000	0	15932	0000	0000	0	11690	0000	0000	0	9211	0000	0000	0	11194	0000	0000	0	13952	0000	0000	0	13966	0000	0000	0	13628	0000	0000	0	13171	0000	0000	0	11194	0000	0000
"Logan, AR"	05083	0	24110	0000	0000	0	25967	0000	0000	0	20260	0000	0000	0	15957	0000	0000	0	16789	0000	0000	0	20144	0000	0000	0	20557	0000	0000	0	22486	0000	0000	0	22353	0000	0000	0	16789	0000	0000
"Lonoke, AR"	05085	0	33759	0000	0000	0	29802	0000	0000	0	27278	0000	0000	0	24551	0000	0000	0	26249	0000	0000	0	34518	0000	0000	0	39268	0000	0000	0	52828	0000	0000	0	68356	0000	0000	0	26249	0000	0000
"Madison, AR"	05087	0	13334	0000	0000	0	14531	0000	0000	0	11734	0000	0000	0	9068	0000	0000	0	9453	0000	0000	0	11373	0000	0000	0	11618	0000	0000	0	14243	0000	0000	0	15717	0000	0000	0	9453	0000	0000
"Marion, AR"	05089	0	8876	0000	0000	0	9464	0000	0000	0	8609	0000	0000	0	6041	0000	0000	0	7000	0000	0000	0	11334	0000	0000	0	12001	0000	0000	0	16140	0000	0000	0	16653	0000	0000	0	7000	0000	0000
"Miller, AR"	05091	0	30586	0000	0000	0	31874	0000	0000	0	32614	0000	0000	0	31686	0000	0000	0	33385	0000	0000	0	37766	0000	0000	0	38467	0000	0000	0	40443	0000	0000	0	43462	0000	0000	0	33385	0000	0000
"Mississippi, AR"	05093	0	69289	0000	0000	0	80217	0000	0000	0	82375	0000	0000	0	70174	0000	0000	0	62060	0000	0000	0	59517	0000	0000	0	57525	0000	0000	0	51979	0000	0000	0	46480	0000	0000	0	62060	0000	0000
"Monroe, AR"	05095	0	20651	0000	0000	0	21133	0000	0000	0	19540	0000	0000	0	17327	0000	0000	0	15657	0000	0000	0	14052	0000	0000	0	11333	0000	0000	0	10254	0000	0000	0	8149	0000	0000	0	15657	0000	0000
"Montgomery, AR"	05097	0	10768	0000	0000	0	8876	0000	0000	0	6680	0000	0000	0	5370	0000	0000	0	5821	0000	0000	0	7771	0000	0000	0	7841	0000	0000	0	9245	0000	0000	0	9487	0000	0000	0	5821	0000	0000
"Nevada, AR"	05099	0	20407	0000	0000	0	19869	0000	0000	0	14781	0000	0000	0	10700	0000	0000	0	10111	0000	0000	0	11097	0000	0000	0	10101	0000	0000	0	9955	0000	0000	0	8997	0000	0000	0	10111	0000	0000
"Newton, AR"	05101	0	10564	0000	0000	0	10881	0000	0000	0	8685	0000	0000	0	5963	0000	0000	0	5844	0000	0000	0	7756	0000	0000	0	7666	0000	0000	0	8608	0000	0000	0	8330	0000	0000	0	5844	0000	0000
"Ouachita, AR"	05103	0	29890	0000	0000	0	31151	0000	0000	0	33051	0000	0000	0	31641	0000	0000	0	30896	0000	0000	0	30541	0000	0000	0	30574	0000	0000	0	28790	0000	0000	0	26120	0000	0000	0	30896	0000	0000
"Perry, AR"	05105	0	7695	0000	0000	0	8392	0000	0000	0	5978	0000	0000	0	4927	0000	0000	0	5634	0000	0000	0	7266	0000	0000	0	7969	0000	0000	0	10209	0000	0000	0	10445	0000	0000	0	5634	0000	0000
"Phillips, AR"	05107	0	40683	0000	0000	0	45970	0000	0000	0	46254	0000	0000	0	43997	0000	0000	0	40046	0000	0000	0	34772	0000	0000	0	28838	0000	0000	0	26445	0000	0000	0	21757	0000	0000	0	40046	0000	0000
"Pike, AR"	05109	0	11792	0000	0000	0	11786	0000	0000	0	10032	0000	0000	0	7864	0000	0000	0	8711	0000	0000	0	10373	0000	0000	0	10086	0000	0000	0	11303	0000	0000	0	11291	0000	0000	0	8711	0000	0000
"Poinsett, AR"	05111	0	29695	0000	0000	0	37670	0000	0000	0	39311	0000	0000	0	30834	0000	0000	0	26822	0000	0000	0	27032	0000	0000	0	24664	0000	0000	0	25614	0000	0000	0	24583	0000	0000	0	26843	0000	0000
"Polk, AR"	05113	0	14857	0000	0000	0	15832	0000	0000	0	14182	0000	0000	0	11981	0000	0000	0	13297	0000	0000	0	17007	0000	0000	0	17347	0000	0000	0	20229	0000	0000	0	20662	0000	0000	0	13297	0000	0000
"Pope, AR"	05115	0	26547	0000	0000	0	25682	0000	0000	0	23291	0000	0000	0	21177	0000	0000	0	28607	0000	0000	0	39021	0000	0000	0	45883	0000	0000	0	54469	0000	0000	0	61754	0000	0000	0	28607	0000	0000
"Prairie, AR"	05117	0	15187	0000	0000	0	15304	0000	0000	0	13768	0000	0000	0	10515	0000	0000	0	10249	0000	0000	0	10140	0000	0000	0	9518	0000	0000	0	9539	0000	0000	0	8715	0000	0000	0	10249	0000	0000
"Pulaski, AR"	05119	0	137727	0000	0000	0	156085	0000	0000	0	196685	0000	0000	0	242980	0000	0000	0	287189	0000	0000	0	340613	0000	0000	0	349660	0000	0000	0	361474	0000	0000	0	382748	0000	0000	0	287189	0000	0000
"Randolph, AR"	05121	0	16871	0000	0000	0	18319	0000	0000	0	15982	0000	0000	0	12520	0000	0000	0	12645	0000	0000	0	16834	0000	0000	0	16558	0000	0000	0	18195	0000	0000	0	17969	0000	0000	0	12645	0000	0000
"St. Francis, AR"	05123	0	33394	0000	0000	0	36043	0000	0000	0	36841	0000	0000	0	33303	0000	0000	0	30799	0000	0000	0	30858	0000	0000	0	28497	0000	0000	0	29329	0000	0000	0	28258	0000	0000	0	30799	0000	0000
"Saline, AR"	05125	0	15660	0000	0000	0	19163	0000	0000	0	23816	0000	0000	0	28956	0000	0000	0	36107	0000	0000	0	53161	0000	0000	0	64183	0000	0000	0	83529	0000	0000	0	107118	0000	0000	0	36107	0000	0000
"Scott, AR"	05127	0	11803	0000	0000	0	13300	0000	0000	0	10057	0000	0000	0	7297	0000	0000	0	8207	0000	0000	0	9685	0000	0000	0	10205	0000	0000	0	10996	0000	0000	0	11233	0000	0000	0	8207	0000	0000
"Searcy, AR"	05129	0	11056	0000	0000	0	11942	0000	0000	0	10424	0000	0000	0	8124	0000	0000	0	7731	0000	0000	0	8847	0000	0000	0	7841	0000	0000	0	8261	0000	0000	0	8195	0000	0000	0	7731	0000	0000
"Sebastian, AR"	05131	0	54426	0000	0000	0	62809	0000	0000	0	64202	0000	0000	0	66685	0000	0000	0	79237	0000	0000	0	95172	0000	0000	0	99590	0000	0000	0	115071	0000	0000	0	125744	0000	0000	0	79237	0000	0000
"Sevier, AR"	05133	0	16364	0000	0000	0	15248	0000	0000	0	12293	0000	0000	0	10156	0000	0000	0	11272	0000	0000	0	14060	0000	0000	0	13637	0000	0000	0	15757	0000	0000	0	17058	0000	0000	0	11272	0000	0000
"Sharp, AR"	05135	0	10715	0000	0000	0	11497	0000	0000	0	8999	0000	0000	0	6319	0000	0000	0	8233	0000	0000	0	14607	0000	0000	0	14109	0000	0000	0	17119	0000	0000	0	17264	0000	0000	0	8233	0000	0000
"Stone, AR"	05137	0	7993	0000	0000	0	8603	0000	0000	0	7662	0000	0000	0	6294	0000	0000	0	6838	0000	0000	0	9022	0000	0000	0	9775	0000	0000	0	11499	0000	0000	0	12394	0000	0000	0	6838	0000	0000
"Union, AR"	05139	0	55800	0000	0000	0	50461	0000	0000	0	49686	0000	0000	0	49518	0000	0000	0	45428	0000	0000	0	48573	0000	0000	0	46719	0000	0000	0	45629	0000	0000	0	41639	0000	0000	0	45428	0000	0000
"Van Buren, AR"	05141	0	11962	0000	0000	0	12518	0000	0000	0	9687	0000	0000	0	7228	0000	0000	0	8275	0000	0000	0	13357	0000	0000	0	14008	0000	0000	0	16192	0000	0000	0	17295	0000	0000	0	8275	0000	0000
"Washington, AR"	05143	0	39255	0000	0000	0	41114	0000	0000	0	49979	0000	0000	0	55797	0000	0000	0	77370	0000	0000	0	100494	0000	0000	0	113409	0000	0000	0	157715	0000	0000	0	203065	0000	0000	0	77370	0000	0000
"White, AR"	05145	0	38269	0000	0000	0	37176	0000	0000	0	38040	0000	0000	0	32745	0000	0000	0	39253	0000	0000	0	50835	0000	0000	0	54676	0000	0000	0	67165	0000	0000	0	77076	0000	0000	0	39253	0000	0000
"Woodruff, AR"	05147	0	22682	0000	0000	0	22133	0000	0000	0	18957	0000	0000	0	13954	0000	0000	0	11566	0000	0000	0	11222	0000	0000	0	9520	0000	0000	0	8741	0000	0000	0	7260	0000	0000	0	11566	0000	0000
"Yell, AR"	05149	0	21313	0000	0000	0	20970	0000	0000	0	14057	0000	0000	0	11940	0000	0000	0	14208	0000	0000	0	17026	0000	0000	0	17759	0000	0000	0	21139	0000	0000	0	22185	0000	0000	0	14208	0000	0000
